Category,Name,Tagline,Benefits,Price,Image,WhatsAppMessage
Vastu Remedy Items,Brass Directional Helix,Vastu remedy for multiple directional defects,Corrects multiple directional cuts|Supports career and stability|Brings family harmony,On request,product-images/brass_directional_helix.png,"Namaste, I would like to buy the Brass Directional Helix. Could you share price and availability?"
Vastu Remedy Items,Brass Helix (North-West),Vastu remedy for North-West dosh,Corrects NW cuts or missing corner|Fixes bedroom/toilet placement dosh|Supports career and mental stability,On request,product-images/brass-spiral-helix.png,"Namaste, I would like to buy the Brass Helix (North-West). Could you share price and availability?"
Vastu Remedy Items,Copper Triangle Helix (South-East),Vastu remedy for South-East dosh,Corrects SE cuts or missing corner|Balances kitchen fire-element dosh|Boosts cash flow and career,On request,product-images/copper-triangle-helix.png,"Namaste, I would like to buy the Copper Triangle Helix (South-East). Could you share price and availability?"
Vastu Remedy Items,Lead Helix (South-West),Vastu remedy for South-West dosh,Corrects SW cuts or missing corner|Fixes bedroom/toilet placement dosh|Strengthens stability and relationships,On request,product-images/lead-square-helix.png,"Namaste, I would like to buy the Lead Helix (South-West). Could you share price and availability?"
Vastu Remedy Items,Zinc Helix (North-East),Vastu remedy for North-East dosh,Corrects NE cuts or missing corner|Balances toilet/kitchen heavy-load dosh|Supports children's focus and studies,On request,product-images/zinc-helix.png,"Namaste, I would like to buy the Zinc Helix (North-East). Could you share price and availability?"
Vastu Remedy Items,Discover Our Full Sacred Collection, Custom Remedies,On Request,product-images/vastu-many-more.png,Namaste! I would like to inquire about additional Vastu remedies.
Spiritual Jewellry,Dhanyog Bracelet,Protection - Prosperity - Victory,Shields from negative energy|Attracts wealth and abundance|Brings courage and success,₹1750,product-images/dhan-yog-bracelet.png,"Namaste, I would like to buy the Dhanyog Bracelet. Could you share price and availability?"
Spiritual Jewellry,Education Bracelet,Focus - Memory - Confidence - Success,Improves focus and memory|Reduces exam stress|Supports academic success,₹1750,product-images/education-bracelet.png,"Namaste, I would like to buy the Education Bracelet. Could you share price and availability?"
Spiritual Jewellry,Money Magnet Bracelet,Prosperity - Wealth - Success - Abundance,Attracts financial opportunities|Invites consistent money flow|Builds a success mindset,₹1750,product-images/money-magnet-bracelet.png,"Namaste, I would like to buy the Money Magnet Bracelet. Could you share price and availability?"
Spiritual Jewellry,Pyrite Bracelet,Wealth - Shield - Confidence - Manifestation,Attracts wealth and opportunity|Deflects negative energy|Boosts willpower and focus,₹1750,product-images/pyrite-bracelet.png,"Namaste, I would like to buy the Pyrite Bracelet. Could you share price and availability?"
Spiritual Jewellry,Discover Our Full Sacred Collection, Wide Variety,On Request,product-images/crystals_many_more.png,Namaste! I would like to inquire about additional crystal products.
Rudraksha,1 Mukhi Rudraksha,Focus - Detachment - Divine Connection,Awakens spiritual focus|Encourages inner detachment|Rare and highly revered,On request,product-images/1-mukhi-rudraksha.png,"Namaste, I would like to buy the 1 Mukhi Rudraksha. Could you share price and availability?"
Rudraksha,2 Mukhi Rudraksha,Harmony - Balance - Union,Strengthens relationships|Restores emotional balance|Encourages harmony between partners,On request,product-images/2-mukhi-rudraksha.jpg,"Namaste, I would like to buy the 2 Mukhi Rudraksha. Could you share price and availability?"
Rudraksha,3 Mukhi Rudraksha,Confidence - Release - Renewal,Builds self-confidence|Releases past guilt|Boosts courage and drive,On request,product-images/3-mukhi-rudraksha.jpg,"Namaste, I would like to buy the 3 Mukhi Rudraksha. Could you share price and availability?"
Rudraksha,4 Mukhi Rudraksha,Learning - Speech - Creativity,Sharpens learning ability|Improves clear speech|Enhances creativity,On request,product-images/4-mukhi-rudraksha.jpg,"Namaste, I would like to buy the 4 Mukhi Rudraksha. Could you share price and availability?"
Rudraksha,5 Mukhi Rudraksha,Peace - Clarity - Well-Being,Calms the mind|Improves mental clarity|Most common and widely worn bead,On request,product-images/5-mukhi-rudraksha.jpg,"Namaste, I would like to buy the 5 Mukhi Rudraksha. Could you share price and availability?"
Rudraksha,6 Mukhi Rudraksha,Willpower - Grounding - Expression,Strengthens willpower|Grounds scattered energy|Supports emotional expression,On request,product-images/6-mukhi-rudraksha.jpg,"Namaste, I would like to buy the 6 Mukhi Rudraksha. Could you share price and availability?"
Rudraksha,7 Mukhi Rudraksha,Abundance - Protection - Ease,Invites abundance and prosperity|Eases difficult Saturn periods|Offers protective grounding,On request,product-images/7-mukhi-rudraksha.jpg,"Namaste, I would like to buy the 7 Mukhi Rudraksha. Could you share price and availability?"
